Time,shadower,hero,adele,ark,bishop,archmage_fp
140,3.2325780850803394E12,4.412407757783122E12,5.812657677906384E12,3.279556563117142E12,1.3020940794683167E12,3.260621103046257E12
141,3.232741826704497E12,4.42771800334009E12,5.833920502761278E12,3.2938195211462896E12,1.3862946650178733E12,3.2650362162315083E12
142,3.2739200929488833E12,4.547591709024904E12,5.85376580595918E12,3.308082479175437E12,1.388399679656612E12,3.268591392338848E12
143,3.3027448793199536E12,4.593522445695809E12,5.877404337334456E12,3.3223454372045845E12,1.3647700334187722E12,3.2730065055240996E12
144,2.959336048605872E12,4.4327705630208E12,5.901042868709732E12,3.3365139385580425E12,1.3658225407381416E12,3.2765616816314395E12
145,2.9873943376105723E12,4.446145757589386E12,5.960578778303437E12,3.3248128110162544E12,1.366875048057511E12,3.280976794816691E12
146,3.041243551388885E12,4.461456003146354E12,5.994523247644536E12,3.339075769045402E12,1.3102917810547598E12,3.284531970924031E12
147,3.0789380010337036E12,4.581329708831168E12,5.924117398960733E12,3.3533387270745493E12,1.3360428993007168E12,3.288947084109282E12
148,3.0917483171063296E12,4.627260445502072E12,5.966643048670521E12,3.367601685103697E12,1.3617940175466738E12,3.292502260216622E12
149,3.0919120587304873E12,4.415865307226966E12,5.987905873525416E12,3.381864643132844E12,1.3975236941129392E12,3.2969173734018735E12
150,3.1330903249748735E12,4.429240501795552E12,6.007751176723317E12,3.3960331444863022E12,1.4261074353659514E12,3.3004725495092134E12
151,3.161915111345944E12,4.44455074735252E12,6.092499689209494E12,3.3778784241481987E12,1.4546911766189636E12,3.304887662694465E12
152,2.7598118900004536E12,4.564424453037334E12,6.1161382205847705E12,3.392141382177346E12,1.5404424003780002E12,3.3084428388018047E12
153,2.7726222060730796E12,4.610355189708238E12,6.175674130178475E12,3.4064043402064937E12,1.6078028688176455E12,3.312857951987056E12
154,2.7727859476972373E12,4.464338456899088E12,6.235210039772179E12,3.420667298235641E12,1.3564675212984375E12,3.316413128094396E12
155,2.8008442367019375E12,4.51095600910985E12,6.269154509113278E12,3.434835799589099E12,1.4238279897380828E12,3.3208282412796475E12
156,2.85469345048025E12,4.524331203678436E12,6.18241867953962E12,3.4166810792509956E12,1.3995317400340884E12,3.3243834173869873E12
157,2.892387900125069E12,4.539641449235403E12,6.202451965563275E12,3.430944037280143E12,1.3340285013589988E12,3.328798530572239E12
158,2.4346072543663657E12,4.659515154920218E12,6.287564696107561E12,3.4452069953092905E12,1.4024414771180137E12,3.3323537066795786E12
159,2.463432040737436E12,4.705445891591122E12,5.995284201072088E12,3.459469953338438E12,1.3460101584608489E12,3.33676881986483E12
160,2.170434501483288E12,4.2764892388009277E12,6.015317487095743E12,3.473638454691896E12,1.372163637929399E12,3.34032399597217E12
161,2.183244817555914E12,4.323106791011689E12,6.035350773119398E12,3.461937327150108E12,1.4576798576281675E12,3.3447391091574214E12
162,2.1834085591800715E12,4.3364819855802744E12,6.055384059143054E12,3.4849854322599604E12,1.4344361152435425E12,3.348294285264761E12
163,2.211466848184772E12,4.3517922311372427E12,6.135231925186313E12,3.499248390289108E12,1.4048823997770244E12,3.3527093984500127E12
164,2.2653160619630845E12,4.471665936822058E12,6.191325126052548E12,3.5135113483182554E12,1.4268271773858774E12,3.3562645745573525E12
165,2.3030105116079033E12,4.517596673492962E12,6.247418326918782E12,3.527774306347403E12,1.3722075777236455E12,3.360679687742604E12
166,2.452523014952099E12,4.2564816614313994E12,6.303511527785017E12,3.5420372643765503E12,1.482523501135057E12,3.364234863849944E12
167,2.557181767293036E12,4.3030992136421606E12,6.359604728651251E12,3.5563002224056978E12,1.5021352615764685E12,3.3686499770351953E12
168,2.2453926870332817E12,4.316474408210746E12,6.39566464349383E12,3.570563180434845E12,1.495182210790444E12,3.372205153142535E12
169,2.2455564286574395E12,4.3317846537677144E12,6.489081697516549E12,3.5848261384639927E12,1.5147939712318557E12,3.3766202663277866E12
170,2.2867346949018257E12,4.43167940850506E12,6.133009809311352E12,3.59908909649314E12,1.480681967387394E12,3.3801754424351265E12
171,2.315559481272896E12,4.551553114189874E12,6.153043095335007E12,3.613257597846598E12,1.567654196268451E12,3.384590555620378E12
172,2.1816739993458525E12,4.597483850860778E12,6.232890961378267E12,3.6275205558757456E12,1.5130429012932207E12,3.388145731727718E12
173,2.235523213124165E12,4.3870657424325625E12,6.288984162244501E12,3.641783513904893E12,1.6234307302576392E12,3.392560844912969E12
174,2.273217662768984E12,4.400440937001148E12,6.345077363110735E12,3.6560464719340405E12,1.5849126310529165E12,3.396116021020309E12
175,2.1707839890397603E12,4.415751182558116E12,6.377108150266481E12,3.670309429963188E12,1.5782791879243574E12,3.4005311342055605E12
176,2.1709477306639177E12,4.535624888242931E12,5.346411629789898E12,3.684477931316646E12,1.6102942177751213E12,3.4040863103129004E12
177,2.2121259969083037E12,4.581555624913835E12,5.366016150619391E12,3.672776803774858E12,1.6423092476258853E12,3.408501423498152E12
178,2.240950783279374E12,4.2591415588089023E12,5.398046937775137E12,3.6870397618040054E12,1.6743242774766492E12,3.4120565996054917E12
179,2.0733988247928823E12,4.3204406128522734E12,5.477894803818396E12,3.701302719833153E12,1.7703693670289412E12,3.416471712790743E12
180,2.1014571137975825E12,4.333815807420859E12,5.533988004684631E12,3.7155656778623003E12,1.8458160130354163E12,3.584240604612632E12
181,2.1553063275758948E12,4.349126052977827E12,5.590081205550865E12,3.7298286358914478E12,1.6028984127534102E12,3.584285390310354E12
182,2.1930007772207134E12,4.468999758662642E12,5.622111992706611E12,3.743997137244906E12,1.6783450587598853E12,3.5843007364585244E12
183,2.0863467374586626E12,4.514930495333546E12,5.516723858477397E12,3.7258424169068022E12,1.5961255512358691E12,3.584391560600758E12
184,2.1275250037030488E12,4.368913762524395E12,5.572817059343632E12,3.7401053749359497E12,1.6249679204707917E12,3.584598263821013E12
185,2.1563497900741191E12,4.3822889570929805E12,5.628910260209866E12,3.754368332965097E12,1.7192762279788857E12,3.6359788046328027E12
186,1.9980752424292532E12,4.3975992026499487E12,5.660941047365612E12,3.7686312909942446E12,1.7273624055457156E12,3.636073073828707E12
187,2.0261335314339534E12,4.517472908334764E12,5.412477004737073E12,3.7827997923477026E12,1.708242596324626E12,3.636117859526429E12
188,2.0799827452122656E12,4.563403645005668E12,5.468570205603308E12,3.764645072009599E12,1.6621429007006714E12,3.6361814364259927E12
189,2.1176771948570842E12,4.2543647734693203E12,5.504630120445887E12,3.7789080300387466E12,1.6691765709481318E12,3.636196782574163E12
190,2.0165106568865645E12,4.2696750190262886E12,5.54383916210487E12,3.793170988067894E12,1.591815911380589E12,3.6364160132623125E12
191,2.0576889231309507E12,4.3895487247111035E12,5.575869949260616E12,3.8074339460970415E12,1.686124218888683E12,3.636506837404546E12
192,2.086513709502021E12,4.435479461382008E12,5.198853003070011E12,3.8216024474504995E12,1.6733181261660293E12,3.6367135406248013E12
193,1.9712958647311743E12,4.1628389170967783E12,5.218886289093666E12,3.8099013199087114E12,1.6268511109837778E12,3.6438346909235938E12
194,1.9993541537358745E12,4.2241379711401494E12,5.2749794899599E12,3.824164277937859E12,1.6164686591092942E12,3.6473898670309336E12
195,2.0532033675141868E12,4.237513165708735E12,5.368396543982619E12,3.8384272359670063E12,1.6060862072348105E12,3.651804980216185E12
196,2.0908978171590054E12,4.252823411265703E12,5.400427331138365E12,3.852690193996154E12,1.530171089017788E12,3.84163986579971E12
197,2.0165106568865645E12,4.372697116950518E12,5.011132999903092E12,3.8669531520253013E12,1.6259083102760046E12,3.8535142274406035E12
198,2.0576889231309507E12,4.418627853621423E12,5.067226200769326E12,3.8811216533787593E12,1.5822773938063374E12,3.860758156192823E12
199,2.086513709502021E12,4.2246336133042383E12,5.107292772816637E12,3.862966933040656E12,1.4627981282032053E12,3.860834573746978E12
200,1.9712958647311743E12,4.2399438588612065E12,5.139323559972383E12,3.877229891069803E12,1.4952982342638293E12,3.8609288429428823E12
201,1.9841061808038003E12,4.3598175645460215E12,5.124076824253361E12,3.8914928490989507E12,1.5277983403244534E12,3.860992419842446E12
202,2.0121644698085005E12,4.405748301216926E12,5.203924690296621E12,3.905755807128098E12,1.6252986585063257E12,3.861211650530595E12
203,2.0660136835868127E12,4.194353162941819E12,5.260017891162855E12,3.9718754801109014E12,1.701888435512899E12,3.8613024746728286E12
204,2.1037081332316313E12,4.2077283575104043E12,5.31611109202909E12,3.9601743525691133E12,1.4820990181734907E12,3.9095220941574106E12
205,2.041967547407659E12,4.2230386030673726E12,5.355320133688073E12,3.9744373105982607E12,1.3888671135961274E12,3.9131385664045317E12
206,2.0421312890318164E12,4.3429123087521875E12,5.387350920843819E12,3.988700268627408E12,1.484604334854344E12,3.917629802230908E12
207,2.0833095552762026E12,4.3888430454230923E12,4.643052880913445E12,4.0029632266565557E12,1.4271513559563145E12,4.006511742737006E12
208,2.112134341647273E12,4.1362837259286797E12,4.69914608177968E12,4.017226184685703E12,1.4282944869564126E12,4.0137556714892256E12
209,1.979722073146816E12,4.149658920497265E12,4.755239282645914E12,4.0833458576685063E12,1.430580748956609E12,4.0173721437363467E12
210,2.007780362151516E12,4.1649691660542334E12,4.953385171714146E12,4.065191137330403E12,1.4328670109568052E12,4.021863379562723E12
211,2.0616295759298284E12,4.2848428717390483E12,4.975533903239281E12,4.0794540953595503E12,1.3686425071168127E12,4.0741297917678193E12
212,2.099324025574647E12,4.330773608409953E12,5.031627104105516E12,4.0937170533886978E12,1.4658086421251519E12,4.0910560297545835E12
213,2.029157231335033E12,4.058079416091475E12,5.067687018948095E12,4.107980011417845E12,1.438341163462143E12,4.1104733957401357E12
